Date,Open,High,Low,Close,TrndrUp,TrndrDn
8/12/1948,15.71,15.71,15.71,15.71,,16.57
8/13/1948,15.7,15.7,15.7,15.7,,16.57
8/16/1948,15.74,15.74,15.74,15.74,,16.57
8/17/1948,15.93,15.93,15.93,15.93,,16.57
8/18/1948,15.93,15.93,15.93,15.93,,16.57
8/19/1948,15.98,15.98,15.98,15.98,,16.57
8/20/1948,16.15,16.15,16.15,16.15,,16.57
8/23/1948,15.94,15.94,15.94,15.94,,16.57
8/24/1948,16.02,16.02,16.02,16.02,,16.57
8/25/1948,15.99,15.99,15.99,15.99,,16.57
8/26/1948,16.04,16.04,16.04,16.04,,16.57
8/27/1948,16.11,16.11,16.11,16.11,,16.57
8/30/1948,15.98,15.98,15.98,15.98,,16.57
8/31/1948,15.97,15.97,15.97,15.97,,16.57
9/1/1948,16.16,16.16,16.16,16.16,,16.57
9/2/1948,16.24,16.24,16.24,16.24,,16.57
9/3/1948,16.27,16.27,16.27,16.27,,16.57
9/7/1948,16.35,16.35,16.35,16.35,,16.57
9/8/1948,16.07,16.07,16.07,16.07,,16.57
9/9/1948,15.81,15.81,15.81,15.81,,16.57
9/10/1948,15.83,15.83,15.83,15.83,,16.57
9/13/1948,15.7,15.7,15.7,15.7,,16.57
9/14/1948,15.82,15.82,15.82,15.82,,16.57
9/15/1948,15.8,15.8,15.8,15.8,,16.57
9/16/1948,15.8,15.8,15.8,15.8,,16.57
9/17/1948,15.73,15.73,15.73,15.73,,16.57
9/20/1948,15.44,15.44,15.44,15.44,,16.57
9/21/1948,15.55,15.55,15.55,15.55,,16.57
9/22/1948,15.59,15.59,15.59,15.59,,16.57
9/23/1948,15.56,15.56,15.56,15.56,,16.57
9/24/1948,15.6,15.6,15.6,15.6,,16.57
9/27/1948,15.19,15.19,15.19,15.19,,16.57
9/28/1948,15.36,15.36,15.36,15.36,,16.57
9/29/1948,15.55,15.55,15.55,15.55,,16.57
9/30/1948,15.49,15.49,15.49,15.49,,16.57
10/1/1948,15.67,15.67,15.67,15.67,,16.57
10/4/1948,15.85,15.85,15.85,15.85,,16.57
10/5/1948,15.82,15.82,15.82,15.82,,16.57
10/6/1948,15.84,15.84,15.84,15.84,,16.57
10/7/1948,15.93,15.93,15.93,15.93,,16.57
10/8/1948,15.9,15.9,15.9,15.9,,16.57
10/11/1948,15.9,15.9,15.9,15.9,,16.57
10/13/1948,16.09,16.09,16.09,16.09,,16.57
10/14/1948,16.14,16.14,16.14,16.14,,16.57
10/15/1948,16.12,16.12,16.12,16.12,,16.57
10/18/1948,16.19,16.19,16.19,16.19,,16.57
10/19/1948,16.28,16.28,16.28,16.28,,16.57
10/20/1948,16.34,16.34,16.34,16.34,,16.57
10/21/1948,16.36,16.36,16.36,16.36,,16.57
10/22/1948,16.61,16.61,16.61,16.61,15.62,
10/25/1948,16.58,16.58,16.58,16.58,15.72,
10/26/1948,16.59,16.59,16.59,16.59,15.81,
10/27/1948,16.57,16.57,16.57,16.57,15.83,
10/28/1948,16.46,16.46,16.46,16.46,15.83,
10/29/1948,16.5,16.5,16.5,16.5,15.83,
11/1/1948,16.7,16.7,16.7,16.7,15.83,
11/3/1948,15.93,15.93,15.93,15.93,15.83,
11/4/1948,16.14,16.14,16.14,16.14,15.83,
11/5/1948,15.43,15.43,15.43,15.43,,18.39
11/8/1948,15.5,15.5,15.5,15.5,,18.19
11/9/1948,15.01,15.01,15.01,15.01,,18.01
11/10/1948,15,15,15,15,,17.85
11/12/1948,15.04,15.04,15.04,15.04,,17.75
11/15/1948,15.27,15.27,15.27,15.27,,17.74
11/16/1948,15.26,15.26,15.26,15.26,,17.74
11/17/1948,15.22,15.22,15.22,15.22,,17.74
11/18/1948,15.26,15.26,15.26,15.26,,17.74
11/19/1948,15.31,15.31,15.31,15.31,,17.74
11/22/1948,15.21,15.21,15.21,15.21,,17.74
11/23/1948,15.19,15.19,15.19,15.19,,17.73
11/24/1948,14.91,14.91,14.91,14.91,,17.63
11/26/1948,14.91,14.91,14.91,14.91,,17.07
11/29/1948,14.79,14.79,14.79,14.79,,16.97
11/30/1948,14.75,14.75,14.75,14.75,,16.21
12/1/1948,15.01,15.01,15.01,15.01,,16.21
12/2/1948,15,15,15,15,,15.93
12/3/1948,15.13,15.13,15.13,15.13,,15.93
12/6/1948,15.23,15.23,15.23,15.23,,15.93
12/7/1948,15.24,15.24,15.24,15.24,,15.93
12/8/1948,15.2,15.2,15.2,15.2,,15.93
12/9/1948,15.17,15.17,15.17,15.17,,15.93
12/10/1948,15.22,15.22,15.22,15.22,,15.93
12/13/1948,15.33,15.33,15.33,15.33,,15.93
12/14/1948,15.25,15.25,15.25,15.25,,15.93
12/15/1948,15.17,15.17,15.17,15.17,,15.93
12/16/1948,15.16,15.16,15.16,15.16,,15.89
12/17/1948,15.2,15.2,15.2,15.2,,15.86
12/20/1948,15.19,15.19,15.19,15.19,,15.86
12/21/1948,15.14,15.14,15.14,15.14,,15.84
12/22/1948,15.15,15.15,15.15,15.15,,15.58
12/23/1948,15.15,15.15,15.15,15.15,,15.58
12/24/1948,15.25,15.25,15.25,15.25,,15.58
12/27/1948,15.19,15.19,15.19,15.19,,15.56
12/28/1948,15.08,15.08,15.08,15.08,,15.54
12/29/1948,15.28,15.28,15.28,15.28,,15.54
12/30/1948,15.28,15.28,15.28,15.28,,15.54
12/31/1948,15.2,15.2,15.2,15.2,,15.54
1/3/1949,14.95,14.95,14.95,14.95,,15.54
1/4/1949,15.03,15.03,15.03,15.03,,15.54
1/5/1949,15.16,15.16,15.16,15.16,,15.54
1/6/1949,15.5,15.5,15.5,15.5,,15.54
1/7/1949,15.61,15.61,15.61,15.61,14.4,
1/10/1949,15.51,15.51,15.51,15.51,14.48,
1/11/1949,15.5,15.5,15.5,15.5,14.49,
1/12/1949,15.47,15.47,15.47,15.47,14.5,
1/13/1949,15.39,15.39,15.39,15.39,14.51,
1/14/1949,15.24,15.24,15.24,15.24,14.51,
1/17/1949,15.38,15.38,15.38,15.38,14.51,
1/18/1949,15.38,15.38,15.38,15.38,14.51,
1/19/1949,15.44,15.44,15.44,15.44,14.51,
1/20/1949,15.5,15.5,15.5,15.5,14.53,
1/21/1949,15.47,15.47,15.47,15.47,14.53,
1/24/1949,15.44,15.44,15.44,15.44,14.6,
1/25/1949,15.33,15.33,15.33,15.33,14.6,
1/26/1949,15.29,15.29,15.29,15.29,14.6,
1/27/1949,15.25,15.25,15.25,15.25,14.83,
1/28/1949,15.2,15.2,15.2,15.2,14.83,
1/31/1949,15.22,15.22,15.22,15.22,14.83,
2/1/1949,15.34,15.34,15.34,15.34,14.83,
2/2/1949,15.35,15.35,15.35,15.35,14.83,
2/3/1949,15.32,15.32,15.32,15.32,14.83,
2/4/1949,15.09,15.09,15.09,15.09,14.83,
2/7/1949,14.76,14.76,14.76,14.76,,15.97
2/8/1949,14.7,14.7,14.7,14.7,,15.81
2/9/1949,14.78,14.78,14.78,14.78,,15.75
2/10/1949,14.58,14.58,14.58,14.58,,15.7
2/11/1949,14.56,14.56,14.56,14.56,,15.62
2/14/1949,14.61,14.61,14.61,14.61,,15.59
2/15/1949,14.65,14.65,14.65,14.65,,15.59
2/16/1949,14.73,14.73,14.73,14.73,,15.59
2/17/1949,14.83,14.83,14.83,14.83,,15.59
2/18/1949,14.79,14.79,14.79,14.79,,15.59
2/21/1949,14.74,14.74,14.74,14.74,,15.59
2/23/1949,14.6,14.6,14.6,14.6,,15.59
2/24/1949,14.42,14.42,14.42,14.42,,15.5
2/25/1949,14.38,14.38,14.38,14.38,,15.41
2/28/1949,14.62,14.62,14.62,14.62,,15.41
3/1/1949,14.71,14.71,14.71,14.71,,15.31
3/2/1949,14.67,14.67,14.67,14.67,,15.31
3/3/1949,14.65,14.65,14.65,14.65,,15.31
3/4/1949,14.67,14.67,14.67,14.67,,15.31
3/7/1949,14.86,14.86,14.86,14.86,,15.31
3/8/1949,14.89,14.89,14.89,14.89,,15.31
3/9/1949,14.86,14.86,14.86,14.86,,15.31
3/10/1949,14.87,14.87,14.87,14.87,,15.31
3/11/1949,15.02,15.02,15.02,15.02,,15.31
3/14/1949,15.07,15.07,15.07,15.07,,15.31
3/15/1949,14.98,14.98,14.98,14.98,,15.31
3/16/1949,14.92,14.92,14.92,14.92,,15.31
3/17/1949,14.97,14.97,14.97,14.97,,15.31
3/18/1949,14.94,14.94,14.94,14.94,,15.31
3/21/1949,14.87,14.87,14.87,14.87,,15.31
3/22/1949,14.77,14.77,14.77,14.77,,15.31
3/23/1949,14.95,14.95,14.95,14.95,,15.31
3/24/1949,14.97,14.97,14.97,14.97,,15.31
3/25/1949,14.89,14.89,14.89,14.89,,15.31
3/28/1949,14.93,14.93,14.93,14.93,,15.31
3/29/1949,15.22,15.22,15.22,15.22,,15.31
3/30/1949,15.21,15.21,15.21,15.21,,15.31
3/31/1949,15.06,15.06,15.06,15.06,,15.31
4/1/1949,14.94,14.94,14.94,14.94,,15.31
4/4/1949,14.98,14.98,14.98,14.98,,15.31
4/5/1949,14.96,14.96,14.96,14.96,,15.31
4/6/1949,14.92,14.92,14.92,14.92,,15.31
4/7/1949,14.93,14.93,14.93,14.93,,15.31
4/8/1949,14.97,14.97,14.97,14.97,,15.31
4/11/1949,14.99,14.99,14.99,14.99,,15.31
4/12/1949,15.03,15.03,15.03,15.03,,15.31
4/13/1949,15.02,15.02,15.02,15.02,,15.31
4/14/1949,14.99,14.99,14.99,14.99,,15.31
4/18/1949,15.07,15.07,15.07,15.07,,15.31
4/19/1949,15.01,15.01,15.01,15.01,,15.31
4/20/1949,14.97,14.97,14.97,14.97,,15.31
4/21/1949,14.72,14.72,14.72,14.72,,15.31
4/22/1949,14.7,14.7,14.7,14.7,,15.31
4/25/1949,14.68,14.68,14.68,14.68,,15.31
4/26/1949,14.76,14.76,14.76,14.76,,15.31
4/27/1949,14.76,14.76,14.76,14.76,,15.31
4/28/1949,14.69,14.69,14.69,14.69,,15.31
4/29/1949,14.71,14.71,14.71,14.71,,15.31
5/2/1949,14.78,14.78,14.78,14.78,,15.31
5/3/1949,14.85,14.85,14.85,14.85,,15.31
5/4/1949,15.02,15.02,15.02,15.02,,15.31
5/5/1949,15.01,15.01,15.01,15.01,,15.31
5/6/1949,14.92,14.92,14.92,14.92,,15.31
5/9/1949,14.88,14.88,14.88,14.88,,15.31
5/10/1949,14.82,14.82,14.82,14.82,,15.31
5/11/1949,14.85,14.85,14.85,14.85,,15.31
5/12/1949,14.87,14.87,14.87,14.87,,15.31
5/13/1949,14.88,14.88,14.88,14.88,,15.31
5/16/1949,14.96,14.96,14.96,14.96,,15.31
5/17/1949,14.93,14.93,14.93,14.93,,15.31
5/18/1949,14.89,14.89,14.89,14.89,,15.31
5/19/1949,14.8,14.8,14.8,14.8,,15.3
5/20/1949,14.73,14.73,14.73,14.73,,15.24
5/23/1949,14.58,14.58,14.58,14.58,,15.21
5/24/1949,14.5,14.5,14.5,14.5,,15.13
5/25/1949,14.57,14.57,14.57,14.57,,15.01
5/26/1949,14.56,14.56,14.56,14.56,,14.98
5/27/1949,14.51,14.51,14.51,14.51,,14.94
5/31/1949,14.19,14.19,14.19,14.19,,14.94
6/1/1949,14.14,14.14,14.14,14.14,,14.94
6/2/1949,14.14,14.14,14.14,14.14,,14.94
6/3/1949,14.05,14.05,14.05,14.05,,14.94
6/6/1949,13.82,13.82,13.82,13.82,,14.89
6/7/1949,13.84,13.84,13.84,13.84,,14.83
6/8/1949,13.93,13.93,13.93,13.93,,14.81
6/9/1949,13.93,13.93,13.93,13.93,,14.81
6/10/1949,13.81,13.81,13.81,13.81,,14.78
6/13/1949,13.55,13.55,13.55,13.55,,14.75
6/14/1949,13.64,13.64,13.64,13.64,,14.7
6/15/1949,13.9,13.9,13.9,13.9,,14.7
6/16/1949,13.85,13.85,13.85,13.85,,14.7
6/17/1949,13.87,13.87,13.87,13.87,,14.7
6/20/1949,14.07,14.07,14.07,14.07,,14.7
6/21/1949,14.08,14.08,14.08,14.08,,14.7
6/22/1949,14.04,14.04,14.04,14.04,,14.7
6/23/1949,14.11,14.11,14.11,14.11,,14.7
6/24/1949,14.13,14.13,14.13,14.13,,14.7
6/27/1949,14.12,14.12,14.12,14.12,,14.7
6/28/1949,14,14,14,14,,14.7
6/29/1949,14.09,14.09,14.09,14.09,,14.7
6/30/1949,14.16,14.16,14.16,14.16,,14.7
7/1/1949,14.26,14.26,14.26,14.26,,14.7
7/5/1949,14.34,14.34,14.34,14.34,,14.7
7/6/1949,14.52,14.52,14.52,14.52,,14.7
7/7/1949,14.52,14.52,14.52,14.52,,14.7
7/8/1949,14.51,14.51,14.51,14.51,,14.7
7/11/1949,14.51,14.51,14.51,14.51,,14.7
7/12/1949,14.61,14.61,14.61,14.61,,14.7
7/13/1949,14.78,14.78,14.78,14.78,14.03,
7/14/1949,14.79,14.79,14.79,14.79,14.08,
7/15/1949,14.76,14.76,14.76,14.76,14.1,
7/18/1949,14.8,14.8,14.8,14.8,14.14,
7/19/1949,14.94,14.94,14.94,14.94,14.21,
7/20/1949,14.97,14.97,14.97,14.97,14.27,
7/21/1949,14.9,14.9,14.9,14.9,14.28,
7/22/1949,14.89,14.89,14.89,14.89,14.28,
7/25/1949,14.94,14.94,14.94,14.94,14.29,
7/26/1949,15.06,15.06,15.06,15.06,14.33,
7/27/1949,15.06,15.06,15.06,15.06,14.44,
7/28/1949,15.04,15.04,15.04,15.04,14.47,
7/29/1949,15.04,15.04,15.04,15.04,14.47,
8/1/1949,15.12,15.12,15.12,15.12,14.52,
8/2/1949,15.16,15.16,15.16,15.16,14.57,
8/3/1949,15.15,15.15,15.15,15.15,14.69,
8/4/1949,15.13,15.13,15.13,15.13,14.7,
8/5/1949,15.35,15.35,15.35,15.35,14.7,
8/8/1949,15.51,15.51,15.51,15.51,14.7,
8/9/1949,15.37,15.37,15.37,15.37,14.7,
8/10/1949,15.44,15.44,15.44,15.44,14.7,
8/11/1949,15.39,15.39,15.39,15.39,14.71,
8/12/1949,15.32,15.32,15.32,15.32,14.71,
8/15/1949,15.25,15.25,15.25,15.25,14.71,
8/16/1949,15.29,15.29,15.29,15.29,14.71,
8/17/1949,15.46,15.46,15.46,15.46,14.71,
8/18/1949,15.5,15.5,15.5,15.5,14.76,
8/19/1949,15.41,15.41,15.41,15.41,14.79,
8/22/1949,15.37,15.37,15.37,15.37,14.79,
8/23/1949,15.17,15.17,15.17,15.17,14.79,
8/24/1949,15.18,15.18,15.18,15.18,14.79,
8/25/1949,15.22,15.22,15.22,15.22,14.79,
8/26/1949,15.28,15.28,15.28,15.28,14.79,
8/29/1949,15.12,15.12,15.12,15.12,14.79,
8/30/1949,15.21,15.21,15.21,15.21,14.79,
8/31/1949,15.22,15.22,15.22,15.22,14.79,
9/1/1949,15.31,15.31,15.31,15.31,14.79,
9/2/1949,15.29,15.29,15.29,15.29,14.79,
9/6/1949,15.28,15.28,15.28,15.28,14.79,
9/7/1949,15.38,15.38,15.38,15.38,14.79,
9/8/1949,15.41,15.41,15.41,15.41,14.79,
9/9/1949,15.4,15.4,15.4,15.4,14.79,
9/12/1949,15.52,15.52,15.52,15.52,14.83,
9/13/1949,15.74,15.74,15.74,15.74,14.83,
9/14/1949,15.73,15.73,15.73,15.73,14.97,
9/15/1949,15.61,15.61,15.61,15.61,14.97,
9/16/1949,15.66,15.66,15.66,15.66,14.99,
9/19/1949,15.55,15.55,15.55,15.55,14.99,
9/20/1949,15.19,15.19,15.19,15.19,14.99,
9/21/1949,15.41,15.41,15.41,15.41,14.99,
9/22/1949,15.5,15.5,15.5,15.5,14.99,
9/23/1949,15.57,15.57,15.57,15.57,14.99,
